entry_time,exit_time,pnl_points,pnl_reais,side
2026-03-06 09:15:00,2026-03-06 09:30:00,-6.069999999999709,-60.99999999999709,long
2026-03-06 16:30:00,2026-03-06 16:45:00,9.63000000000011,96.0000000000011,short
2026-03-09 10:15:00,2026-03-09 10:30:00,1.0300000000006548,10.000000000006548,short
2026-03-09 16:30:00,2026-03-09 16:45:00,-1.5100000000002183,-15.400000000002183,short
2026-03-11 09:45:00,2026-03-11 10:15:00,-19.75,-197.8,long
2026-03-12 10:30:00,2026-03-12 11:15:00,5.079999999999927,50.499999999999275,long
2026-03-12 12:15:00,2026-03-12 12:30:00,-16.199999999999818,-162.2999999999982,long
2026-03-13 12:30:00,2026-03-13 13:00:00,-12.140000000000327,-121.70000000000327,long
2026-03-16 09:15:00,2026-03-16 09:30:00,-2.0200000000004366,-20.500000000004366,short
2026-03-16 11:00:00,2026-03-16 11:15:00,-4.549999999999272,-45.79999999999272,short
2026-03-16 15:30:00,2026-03-16 16:00:00,-4.039999999999964,-40.69999999999963,short
2026-03-17 09:15:00,2026-03-17 09:45:00,-4.549999999999272,-45.79999999999272,short
2026-03-17 14:45:00,2026-03-17 15:00:00,-1.5100000000002183,-15.400000000002183,short
2026-03-18 09:45:00,2026-03-18 10:15:00,-13.159999999999854,-131.89999999999856,long
2026-03-18 16:30:00,2026-03-18 16:45:00,13.19000000000051,131.60000000000508,long
2026-03-18 17:00:00,2026-03-18 17:15:00,12.680000000000291,126.50000000000291,long
2026-03-18 17:30:00,2026-03-18 17:45:00,8.11999999999989,80.89999999999891,long
2026-03-19 09:30:00,2026-03-19 09:45:00,-3.0200000000004366,-30.500000000004366,long
2026-03-19 16:15:00,2026-03-19 16:30:00,-7.0700000000006185,-71.00000000000618,short
2026-03-20 10:30:00,2026-03-20 10:45:00,17.73999999999978,177.0999999999978,long
2026-03-20 11:00:00,2026-03-20 11:45:00,-4.539999999999964,-45.69999999999963,long
2026-03-23 09:45:00,2026-03-23 10:15:00,-11.639999999999418,-116.69999999999418,short
2026-03-23 11:15:00,2026-03-23 11:45:00,-6.569999999999709,-65.99999999999709,short
2026-03-24 09:15:00,2026-03-24 09:30:00,17.73999999999978,177.0999999999978,long
2026-03-24 09:45:00,2026-03-24 10:00:00,-4.039999999999964,-40.69999999999963,long
2026-03-24 17:30:00,2026-03-24 17:45:00,-5.059999999999491,-50.899999999994904,short
2026-03-25 12:00:00,2026-03-25 12:15:00,-2.519999999999527,-25.49999999999527,short
2026-03-26 09:15:00,2026-03-26 09:30:00,-7.079999999999927,-71.09999999999927,long
2026-03-27 09:15:00,2026-03-27 09:30:00,-3.5399999999999636,-35.69999999999963,long
2026-03-30 10:00:00,2026-03-30 10:15:00,-8.600000000000364,-86.30000000000364,short
2026-03-30 14:30:00,2026-03-30 14:45:00,5.5900000000001455,55.60000000000146,long
2026-03-30 16:30:00,2026-03-30 16:45:00,-8.090000000000146,-81.20000000000145,long
2026-03-31 09:15:00,2026-03-31 09:30:00,3.0299999999997453,29.999999999997453,short
2026-03-31 11:00:00,2026-03-31 11:30:00,-8.050000000000182,-80.80000000000182,short
2026-03-31 13:45:00,2026-03-31 14:00:00,7.059999999999491,70.29999999999491,short
2026-04-01 09:15:00,2026-04-01 09:30:00,3.0299999999997453,29.999999999997453,short
2026-04-02 09:15:00,2026-04-02 09:30:00,-3.5200000000004366,-35.50000000000436,long
2026-04-02 11:45:00,2026-04-02 12:00:00,2.019999999999527,19.89999999999527,short
2026-04-06 09:15:00,2026-04-06 09:30:00,-0.4899999999997817,-5.199999999997817,short
2026-04-06 11:30:00,2026-04-06 11:45:00,-10.569999999999709,-105.99999999999709,short
2026-04-07 10:45:00,2026-04-07 11:15:00,-5.029999999999745,-50.59999999999745,long
2026-04-08 09:15:00,2026-04-08 09:30:00,6.050000000000182,60.20000000000182,short
2026-04-08 15:45:00,2026-04-08 16:00:00,-7.040000000000873,-70.70000000000873,long
2026-04-09 10:15:00,2026-04-09 11:00:00,12.600000000000364,125.70000000000364,short
2026-04-09 12:45:00,2026-04-09 13:00:00,-6.039999999999964,-60.69999999999963,short
2026-04-10 09:15:00,2026-04-10 09:30:00,17.639999999999418,176.09999999999417,short
2026-04-10 09:45:00,2026-04-10 10:15:00,6.050000000000182,60.20000000000182,short
2026-04-10 10:30:00,2026-04-10 11:00:00,4.539999999999964,45.09999999999964,short
2026-04-10 11:15:00,2026-04-10 11:45:00,-14.100000000000364,-141.30000000000365,short
2026-04-13 14:00:00,2026-04-13 14:30:00,-5.529999999999745,-55.59999999999745,short
2026-04-14 09:15:00,2026-04-14 09:30:00,-3.5100000000002183,-35.40000000000218,short
2026-04-14 10:45:00,2026-04-14 11:00:00,-3.019999999999527,-30.49999999999527,short
2026-04-14 15:30:00,2026-04-14 15:45:00,-3.009999999999309,-30.39999999999309,long
2026-04-15 09:15:00,2026-04-15 09:30:00,-7.049999999999272,-70.79999999999272,long
2026-04-15 10:30:00,2026-04-15 10:45:00,2.019999999999527,19.89999999999527,short
2026-04-16 11:30:00,2026-04-16 11:45:00,3.5399999999999636,35.09999999999964,long
2026-04-16 12:00:00,2026-04-16 12:15:00,0.5200000000004366,4.900000000004366,long
2026-04-17 09:15:00,2026-04-17 09:45:00,7.559999999999491,75.29999999999491,short
2026-04-17 10:00:00,2026-04-17 10:15:00,-11.069999999999709,-110.99999999999709,short
2026-04-20 10:30:00,2026-04-20 10:45:00,-6.029999999999745,-60.59999999999745,short
2026-04-20 15:15:00,2026-04-20 15:30:00,-1.5,-15.3,short
2026-04-20 17:45:00,2026-04-20 18:00:00,3.5299999999997453,34.999999999997456,short
2026-04-23 09:15:00,2026-04-23 09:30:00,7.0600000000004,70.300000000004,short
2026-04-23 09:45:00,2026-04-23 10:00:00,-10.569999999999709,-105.99999999999709,short
2026-04-23 12:15:00,2026-04-23 12:30:00,-6.039999999999964,-60.69999999999963,short
2026-04-23 14:45:00,2026-04-23 15:00:00,-6.539999999999964,-65.69999999999963,long
2026-04-23 16:30:00,2026-04-23 16:45:00,-6.539999999999964,-65.69999999999963,long
2026-04-24 16:15:00,2026-04-24 16:30:00,1.0200000000004366,9.900000000004365,short
2026-04-24 17:15:00,2026-04-24 17:30:00,12.600000000000364,125.70000000000364,short
2026-04-24 17:45:00,2026-04-24 18:00:00,-1.0,-10.3,short
