entry_time,exit_time,regime,pnl_points,pnl_reais,side
2026-03-13 14:05:00,2026-03-13 14:11:00,range,-6.069999999999709,-60.99999999999709,short
2026-03-13 14:45:00,2026-03-13 15:01:00,trend,1.0200000000004366,9.900000000004365,long
2026-03-13 15:01:00,2026-03-13 15:03:00,trend,-0.5,-5.3,short
2026-03-13 15:10:00,2026-03-13 15:11:00,transition,-2.0200000000004366,-20.500000000004366,short
2026-03-13 15:16:00,2026-03-13 15:33:00,trend,0.010000000000218279,-0.19999999999781726,long
2026-03-13 15:33:00,2026-03-13 15:36:00,trend,3.5600000000004,35.300000000004005,short
2026-03-13 16:12:00,2026-03-13 16:14:00,range,1.0200000000004366,9.900000000004365,short
2026-03-13 16:18:00,2026-03-13 17:00:00,trend,6.600000000000364,65.70000000000364,long
2026-03-13 17:00:00,2026-03-13 17:08:00,trend,-5.559999999999491,-55.899999999994904,short
2026-03-13 17:53:00,2026-03-13 17:54:00,transition,-2.5200000000004366,-25.500000000004366,short
2026-03-13 17:57:00,2026-03-16 09:01:00,trend,-58.74000000000069,-587.7000000000069,long
2026-03-16 09:21:00,2026-03-16 09:26:00,trend,-1.5,-15.3,short
2026-03-16 09:26:00,2026-03-16 09:30:00,trend,-5.050000000000182,-50.800000000001816,long
2026-03-16 09:30:00,2026-03-16 09:44:00,trend,-4.550000000000182,-45.800000000001816,short
2026-03-16 09:44:00,2026-03-16 09:55:00,trend,1.019999999999527,9.89999999999527,long
2026-03-16 10:08:00,2026-03-16 10:11:00,range,2.5399999999999636,25.099999999999635,short
2026-03-16 10:20:00,2026-03-16 10:23:00,range,3.0600000000004,30.300000000004,short
2026-03-16 10:25:00,2026-03-16 10:27:00,range,-1.5100000000002183,-15.400000000002183,short
2026-03-16 10:28:00,2026-03-16 10:31:00,range,4.069999999999709,40.39999999999709,short
2026-03-16 10:35:00,2026-03-16 10:36:00,range,-5.050000000000182,-50.800000000001816,long
2026-03-16 10:37:00,2026-03-16 10:41:00,range,0.009999999999308784,-0.2000000000069122,long
2026-03-16 10:47:00,2026-03-16 11:13:00,trend,-1.5100000000002183,-15.400000000002183,short
2026-03-16 11:13:00,2026-03-16 11:14:00,trend,-0.5,-5.3,long
2026-03-16 11:14:00,2026-03-16 11:16:00,trend,1.5300000000006548,15.000000000006548,short
2026-03-16 11:26:00,2026-03-16 11:27:00,range,-1.0,-10.3,short
2026-03-16 11:31:00,2026-03-16 11:35:00,range,-6.5700000000006185,-66.00000000000618,short
2026-03-16 11:37:00,2026-03-16 11:54:00,trend,-4.039999999999964,-40.69999999999963,long
2026-03-16 11:54:00,2026-03-16 12:00:00,trend,1.0200000000004366,9.900000000004365,short
2026-03-16 12:27:00,2026-03-16 12:53:00,trend,-6.569999999999709,-65.99999999999709,short
2026-03-16 12:53:00,2026-03-16 13:05:00,trend,-9.100000000000364,-91.30000000000364,long
2026-03-16 13:10:00,2026-03-16 13:24:00,trend,-10.11999999999989,-101.4999999999989,short
2026-03-16 13:24:00,2026-03-16 13:43:00,trend,-6.579999999999927,-66.09999999999927,long
2026-03-16 13:43:00,2026-03-16 13:48:00,trend,-4.039999999999964,-40.69999999999963,short
2026-03-16 14:01:00,2026-03-16 14:02:00,range,-4.549999999999272,-45.79999999999272,long
2026-03-16 14:15:00,2026-03-16 14:35:00,trend,-1.5099999999993088,-15.399999999993089,short
2026-03-16 15:05:00,2026-03-16 15:07:00,range,-4.550000000000182,-45.800000000001816,long
2026-03-16 15:09:00,2026-03-16 15:56:00,trend,16.220000000000255,161.90000000000254,short
2026-03-16 15:56:00,2026-03-16 16:09:00,trend,-6.569999999999709,-65.99999999999709,long
2026-03-16 16:09:00,2026-03-16 16:36:00,trend,-2.5200000000004366,-25.500000000004366,short
2026-03-16 16:36:00,2026-03-16 16:37:00,trend,-1.0,-10.3,long
2026-03-16 16:37:00,2026-03-16 16:43:00,trend,-4.039999999999964,-40.69999999999963,short
2026-03-16 16:43:00,2026-03-16 16:53:00,trend,-1.0,-10.3,long
2026-03-16 17:36:00,2026-03-16 17:50:00,trend,-4.039999999999964,-40.69999999999963,long
2026-03-16 17:50:00,2026-03-16 17:54:00,trend,0.5199999999995271,4.899999999995271,short
2026-03-17 09:02:00,2026-03-17 09:03:00,range,2.5399999999999636,25.099999999999635,short
2026-03-17 09:25:00,2026-03-17 09:49:00,trend,-6.069999999999709,-60.99999999999709,short
2026-03-17 09:49:00,2026-03-17 10:05:00,trend,0.010000000000218279,-0.19999999999781726,long
2026-03-17 10:19:00,2026-03-17 10:25:00,range,-6.0600000000004,-60.900000000004,long
2026-03-17 10:33:00,2026-03-17 10:35:00,range,-0.4899999999997817,-5.199999999997817,long
2026-03-17 10:52:00,2026-03-17 10:55:00,range,0.5200000000004366,4.900000000004366,short
2026-03-17 11:03:00,2026-03-17 11:05:00,trend,-7.5900000000001455,-76.20000000000145,long
2026-03-17 11:09:00,2026-03-17 11:13:00,trend,-7.579999999999927,-76.09999999999927,short
2026-03-17 11:18:00,2026-03-17 11:19:00,range,-1.5100000000002183,-15.400000000002183,short
2026-03-17 11:23:00,2026-03-17 11:24:00,transition,-1.5100000000002183,-15.400000000002183,short
2026-03-17 11:32:00,2026-03-17 11:35:00,trend,-6.569999999999709,-65.99999999999709,long
2026-03-17 11:45:00,2026-03-17 11:46:00,range,1.5299999999997453,14.999999999997453,long
2026-03-17 12:13:00,2026-03-17 12:47:00,trend,-2.0100000000002183,-20.400000000002183,long
2026-03-17 12:55:00,2026-03-17 13:36:00,trend,2.0399999999999636,20.099999999999635,short
2026-03-17 13:36:00,2026-03-17 13:40:00,trend,-1.5100000000002183,-15.400000000002183,long
2026-03-17 14:11:00,2026-03-17 14:12:00,transition,0.009999999999308784,-0.2000000000069122,short
2026-03-17 14:17:00,2026-03-17 14:19:00,trend,-2.0100000000002183,-20.400000000002183,long
2026-03-17 14:37:00,2026-03-17 15:19:00,trend,10.140000000000327,101.10000000000328,short
2026-03-17 15:19:00,2026-03-17 15:44:00,trend,21.789999999999964,217.59999999999962,long
2026-03-17 15:50:00,2026-03-17 15:54:00,trend,-3.5299999999997453,-35.59999999999745,long
2026-03-17 15:54:00,2026-03-17 16:05:00,trend,-7.079999999999927,-71.09999999999927,short
2026-03-17 16:05:00,2026-03-17 16:15:00,trend,-4.550000000000182,-45.800000000001816,long
2026-03-17 16:35:00,2026-03-17 16:54:00,trend,-4.039999999999964,-40.69999999999963,long
2026-03-17 16:54:00,2026-03-17 16:56:00,trend,-2.519999999999527,-25.49999999999527,short
2026-03-17 17:01:00,2026-03-17 17:27:00,trend,2.0399999999999636,20.099999999999635,short
2026-03-17 17:50:00,2026-03-17 17:51:00,trend,-1.0,-10.3,long
2026-03-17 17:51:00,2026-03-17 18:11:00,trend,0.5199999999995271,4.899999999995271,short
2026-03-17 18:17:00,2026-03-17 18:21:00,trend,3.5600000000004,35.300000000004005,long
2026-03-18 09:01:00,2026-03-18 09:03:00,trend,3.050000000000182,30.20000000000182,long
2026-03-18 09:33:00,2026-03-18 10:09:00,trend,9.63000000000011,96.0000000000011,long
2026-03-18 10:21:00,2026-03-18 10:22:00,range,-2.019999999999527,-20.49999999999527,long
2026-03-18 10:23:00,2026-03-18 10:24:00,range,1.5300000000006548,15.000000000006548,long
2026-03-18 10:30:00,2026-03-18 10:31:00,range,-4.039999999999964,-40.69999999999963,long
2026-03-18 10:32:00,2026-03-18 10:34:00,range,-0.5,-5.3,long
2026-03-18 10:35:00,2026-03-18 10:36:00,transition,-0.4899999999997817,-5.199999999997817,long
2026-03-18 10:41:00,2026-03-18 10:51:00,trend,-4.039999999999964,-40.69999999999963,short
2026-03-18 11:05:00,2026-03-18 11:19:00,trend,-8.090000000000146,-81.20000000000145,short
2026-03-18 11:19:00,2026-03-18 11:20:00,transition,1.0300000000006548,10.000000000006548,long
2026-03-18 11:29:00,2026-03-18 11:35:00,trend,-8.090000000000146,-81.20000000000145,long
2026-03-18 11:39:00,2026-03-18 11:40:00,range,-2.5200000000004366,-25.500000000004366,long
2026-03-18 11:41:00,2026-03-18 11:42:00,transition,-0.4899999999997817,-5.199999999997817,long
2026-03-18 11:46:00,2026-03-18 11:49:00,range,-3.5299999999997453,-35.59999999999745,long
2026-03-18 12:01:00,2026-03-18 12:20:00,trend,-3.5299999999997453,-35.59999999999745,short
2026-03-18 12:20:00,2026-03-18 12:27:00,trend,-2.5200000000004366,-25.500000000004366,long
2026-03-18 12:41:00,2026-03-18 12:45:00,trend,-1.5100000000002183,-15.400000000002183,short
2026-03-18 12:49:00,2026-03-18 12:50:00,transition,1.0299999999997453,9.999999999997453,long
2026-03-18 13:15:00,2026-03-18 13:32:00,trend,-10.11999999999989,-101.4999999999989,short
2026-03-18 13:32:00,2026-03-18 13:55:00,trend,1.0200000000004366,9.900000000004365,long
2026-03-18 13:55:00,2026-03-18 14:09:00,trend,-5.559999999999491,-55.899999999994904,short
2026-03-18 14:09:00,2026-03-18 14:25:00,trend,-3.5299999999997453,-35.59999999999745,long
2026-03-18 14:39:00,2026-03-18 14:40:00,transition,-1.0,-10.3,long
2026-03-18 14:48:00,2026-03-18 14:56:00,trend,-7.079999999999927,-71.09999999999927,short
2026-03-18 15:02:00,2026-03-18 15:07:00,trend,0.010000000000218279,-0.19999999999781726,long
2026-03-18 15:33:00,2026-03-18 15:34:00,transition,-2.5100000000002183,-25.400000000002183,short
2026-03-18 15:39:00,2026-03-18 15:41:00,range,-1.5100000000002183,-15.400000000002183,short
2026-03-18 15:53:00,2026-03-18 15:54:00,range,0.009999999999308784,-0.2000000000069122,short
2026-03-18 16:24:00,2026-03-18 16:27:00,range,0.5200000000004366,4.900000000004366,short
2026-03-18 16:36:00,2026-03-18 16:37:00,range,-2.0100000000002183,-20.400000000002183,long
2026-03-18 16:48:00,2026-03-18 17:47:00,trend,27.36999999999989,273.3999999999989,long
2026-03-18 17:47:00,2026-03-18 17:52:00,trend,-7.0700000000006185,-71.00000000000618,short
2026-03-18 17:52:00,2026-03-18 18:18:00,trend,-15.69000000000051,-157.2000000000051,long
2026-03-18 18:18:00,2026-03-19 09:02:00,trend,-9.110000000000582,-91.40000000000582,short
2026-03-19 09:22:00,2026-03-19 09:25:00,range,-4.539999999999964,-45.69999999999963,short
2026-03-19 09:27:00,2026-03-19 09:43:00,trend,-28.859999999999673,-288.89999999999674,long
2026-03-19 09:43:00,2026-03-19 09:50:00,trend,-8.089999999999236,-81.19999999999236,short
2026-03-19 10:04:00,2026-03-19 10:09:00,range,-6.0600000000004,-60.900000000004,short
2026-03-19 10:13:00,2026-03-19 10:21:00,trend,-30.890000000000327,-309.2000000000033,long
2026-03-19 10:21:00,2026-03-19 10:24:00,trend,-10.63000000000011,-106.60000000000109,short
2026-03-19 10:28:00,2026-03-19 10:31:00,range,1.5299999999997453,14.999999999997453,long
2026-03-19 10:36:00,2026-03-19 10:41:00,range,0.019999999999527063,-0.10000000000472942,long
2026-03-19 10:42:00,2026-03-19 10:43:00,range,-3.5299999999997453,-35.59999999999745,long
2026-03-19 10:46:00,2026-03-19 10:50:00,range,18.76000000000022,187.30000000000217,short
2026-03-19 10:51:00,2026-03-19 10:59:00,range,-12.149999999999636,-121.79999999999636,long
2026-03-19 11:03:00,2026-03-19 11:10:00,trend,-3.5299999999997453,-35.59999999999745,short
2026-03-19 11:22:00,2026-03-19 11:23:00,range,-5.5600000000004,-55.900000000004,short
2026-03-19 11:28:00,2026-03-19 11:32:00,range,10.649999999999636,106.19999999999636,short
2026-03-19 11:34:00,2026-03-19 11:38:00,range,-6.579999999999927,-66.09999999999927,long
2026-03-19 11:42:00,2026-03-19 11:50:00,trend,1.0300000000006548,10.000000000006548,short
2026-03-19 11:52:00,2026-03-19 12:23:00,trend,2.550000000000182,25.20000000000182,short
2026-03-19 12:32:00,2026-03-19 12:53:00,trend,-3.5299999999997453,-35.59999999999745,long
2026-03-19 12:59:00,2026-03-19 13:17:00,trend,-1.0,-10.3,short
2026-03-19 13:17:00,2026-03-19 13:21:00,trend,0.010000000000218279,-0.19999999999781726,long
2026-03-19 13:27:00,2026-03-19 13:29:00,trend,0.010000000000218279,-0.19999999999781726,long
2026-03-19 13:36:00,2026-03-19 13:39:00,range,2.0399999999999636,20.099999999999635,short
2026-03-19 13:47:00,2026-03-19 13:48:00,range,-2.019999999999527,-20.49999999999527,short
2026-03-19 13:49:00,2026-03-19 13:53:00,range,-1.5100000000002183,-15.400000000002183,short
2026-03-19 14:02:00,2026-03-19 14:05:00,range,5.5900000000001455,55.60000000000146,long
2026-03-19 14:09:00,2026-03-19 14:12:00,range,1.5399999999999636,15.099999999999635,short
2026-03-19 14:19:00,2026-03-19 14:22:00,range,-9.100000000000364,-91.30000000000364,long
2026-03-19 14:25:00,2026-03-19 14:39:00,trend,-5.559999999999491,-55.899999999994904,short
2026-03-19 14:39:00,2026-03-19 14:43:00,trend,0.010000000000218279,-0.19999999999781726,long
2026-03-19 15:03:00,2026-03-19 15:04:00,transition,-1.5100000000002183,-15.400000000002183,short
2026-03-19 15:31:00,2026-03-19 15:32:00,range,-2.5200000000004366,-25.500000000004366,short
2026-03-19 15:37:00,2026-03-19 15:39:00,range,-4.039999999999964,-40.69999999999963,short
2026-03-19 15:41:00,2026-03-19 15:55:00,trend,-11.13000000000011,-111.60000000000109,long
2026-03-19 15:55:00,2026-03-19 16:05:00,trend,28.3799999999992,283.499999999992,short
2026-03-19 16:22:00,2026-03-19 16:25:00,trend,-2.0100000000002183,-20.400000000002183,short
2026-03-19 16:25:00,2026-03-19 16:38:00,trend,4.0700000000006185,40.40000000000619,long
2026-03-19 16:46:00,2026-03-19 16:51:00,range,0.010000000000218279,-0.19999999999781726,short
2026-03-19 16:52:00,2026-03-19 16:53:00,range,-0.5,-5.3,short
2026-03-19 16:58:00,2026-03-19 16:59:00,range,-2.0100000000002183,-20.400000000002183,long
2026-03-19 17:00:00,2026-03-19 17:01:00,range,0.009999999999308784,-0.2000000000069122,long
2026-03-19 17:14:00,2026-03-19 17:15:00,range,-1.0,-10.3,short
2026-03-19 17:17:00,2026-03-19 17:18:00,range,-1.0,-10.3,short
2026-03-19 17:20:00,2026-03-19 17:21:00,transition,0.5199999999995271,4.899999999995271,short
2026-03-19 17:32:00,2026-03-19 17:33:00,transition,-1.0,-10.3,short
2026-03-19 18:05:00,2026-03-19 18:11:00,trend,-3.030000000000655,-30.60000000000655,short
2026-03-20 09:21:00,2026-03-20 09:32:00,trend,-7.079999999999927,-71.09999999999927,long
2026-03-20 09:43:00,2026-03-20 09:55:00,trend,-7.5900000000001455,-76.20000000000145,long
2026-03-20 10:00:00,2026-03-20 10:02:00,range,5.5900000000001455,55.60000000000146,long
2026-03-20 10:08:00,2026-03-20 10:09:00,range,-2.5100000000002183,-25.400000000002183,short
2026-03-20 10:10:00,2026-03-20 10:11:00,transition,-1.5100000000002183,-15.400000000002183,short
2026-03-20 10:16:00,2026-03-20 10:46:00,trend,8.61999999999989,85.89999999999891,long
2026-03-20 10:46:00,2026-03-20 10:54:00,trend,-12.140000000000327,-121.70000000000327,short
2026-03-20 10:54:00,2026-03-20 11:36:00,trend,13.19000000000051,131.60000000000508,long
2026-03-20 11:36:00,2026-03-20 11:40:00,trend,-4.539999999999964,-45.69999999999963,short
2026-03-20 11:46:00,2026-03-20 11:48:00,range,-1.5100000000002183,-15.400000000002183,long
2026-03-20 11:49:00,2026-03-20 11:50:00,range,-2.0100000000002183,-20.400000000002183,long
2026-03-20 12:01:00,2026-03-20 12:03:00,range,2.5399999999999636,25.099999999999635,long
2026-03-20 12:10:00,2026-03-20 12:13:00,range,-5.5600000000004,-55.900000000004,long
2026-03-20 12:15:00,2026-03-20 12:23:00,trend,5.5900000000001455,55.60000000000146,short
2026-03-20 12:24:00,2026-03-20 12:27:00,trend,-1.5,-15.3,short
2026-03-20 12:27:00,2026-03-20 12:35:00,trend,-11.1299999999992,-111.599999999992,long
2026-03-20 12:35:00,2026-03-20 12:46:00,trend,-11.1299999999992,-111.599999999992,short
2026-03-20 12:46:00,2026-03-20 12:48:00,trend,-3.5299999999997453,-35.59999999999745,long
2026-03-20 13:04:00,2026-03-20 13:05:00,range,-1.5,-15.3,long
2026-03-20 13:13:00,2026-03-20 13:17:00,range,-3.5299999999997453,-35.59999999999745,long
2026-03-20 13:21:00,2026-03-20 13:29:00,trend,-5.5600000000004,-55.900000000004,short
2026-03-20 14:29:00,2026-03-20 14:51:00,trend,2.0399999999999636,20.099999999999635,long
2026-03-20 15:01:00,2026-03-20 15:02:00,transition,-5.059999999999491,-50.899999999994904,long
2026-03-20 15:06:00,2026-03-20 15:13:00,trend,-1.0,-10.3,short
2026-03-20 15:22:00,2026-03-20 15:23:00,transition,6.0900000000001455,60.60000000000146,short
2026-03-20 15:25:00,2026-03-20 15:27:00,trend,0.5199999999995271,4.899999999995271,long
2026-03-20 15:39:00,2026-03-20 15:40:00,transition,-2.019999999999527,-20.49999999999527,long
2026-03-20 15:47:00,2026-03-20 16:06:00,trend,3.0599999999994907,30.299999999994906,long
2026-03-20 16:06:00,2026-03-20 16:07:00,trend,0.019999999999527063,-0.10000000000472942,short
2026-03-20 16:07:00,2026-03-20 16:08:00,trend,1.0299999999997453,9.999999999997453,long
2026-03-20 16:08:00,2026-03-20 16:10:00,trend,-0.4899999999997817,-5.199999999997817,short
2026-03-20 16:10:00,2026-03-20 16:19:00,trend,-8.089999999999236,-81.19999999999236,long
2026-03-20 16:37:00,2026-03-20 16:40:00,range,3.050000000000182,30.20000000000182,short
2026-03-20 16:53:00,2026-03-20 17:02:00,range,-3.5299999999997453,-35.59999999999745,long
2026-03-20 17:10:00,2026-03-20 17:13:00,trend,1.5399999999999636,15.099999999999635,short
2026-03-20 17:44:00,2026-03-20 17:53:00,trend,1.5299999999997453,14.999999999997453,long
2026-03-20 17:54:00,2026-03-20 18:10:00,trend,-4.039999999999964,-40.69999999999963,long
2026-03-20 18:10:00,2026-03-20 18:16:00,trend,9.13000000000011,91.0000000000011,short
2026-03-20 18:18:00,2026-03-20 18:22:00,trend,16.230000000000473,162.00000000000472,short
2026-03-23 09:25:00,2026-03-23 09:30:00,range,-2.019999999999527,-20.49999999999527,long
2026-03-23 09:31:00,2026-03-23 09:32:00,range,1.5300000000006548,15.000000000006548,long
2026-03-23 09:37:00,2026-03-23 09:38:00,range,-0.4900000000006912,-5.200000000006912,long
2026-03-23 09:41:00,2026-03-23 09:42:00,range,8.11999999999989,80.89999999999891,short
2026-03-23 09:42:00,2026-03-23 09:48:00,range,-3.5299999999997453,-35.59999999999745,long
2026-03-23 10:06:00,2026-03-23 10:07:00,range,0.010000000000218279,-0.19999999999781726,short
2026-03-23 10:11:00,2026-03-23 10:13:00,range,-1.5100000000002183,-15.400000000002183,short
2026-03-23 10:14:00,2026-03-23 10:15:00,range,1.5399999999999636,15.099999999999635,short
2026-03-23 10:18:00,2026-03-23 10:19:00,range,-3.030000000000655,-30.60000000000655,short
2026-03-23 10:24:00,2026-03-23 10:25:00,range,-3.5299999999997453,-35.59999999999745,short
2026-03-23 10:26:00,2026-03-23 10:27:00,range,0.5200000000004366,4.900000000004366,short
2026-03-23 10:33:00,2026-03-23 10:37:00,range,8.11999999999989,80.89999999999891,short
2026-03-23 10:40:00,2026-03-23 10:44:00,range,0.5199999999995271,4.899999999995271,long
2026-03-23 10:46:00,2026-03-23 10:48:00,range,1.0299999999997453,9.999999999997453,long
2026-03-23 10:49:00,2026-03-23 10:55:00,range,8.61999999999989,85.89999999999891,long
2026-03-23 10:56:00,2026-03-23 10:57:00,range,-2.5200000000004366,-25.500000000004366,short
2026-03-23 11:02:00,2026-03-23 11:07:00,range,-0.5,-5.3,long
2026-03-23 11:08:00,2026-03-23 11:14:00,range,-7.079999999999927,-71.09999999999927,long
2026-03-23 11:18:00,2026-03-23 11:48:00,trend,1.5300000000006548,15.000000000006548,short
2026-03-23 11:48:00,2026-03-23 12:04:00,trend,-8.599999999999454,-86.29999999999454,long
2026-03-23 12:04:00,2026-03-23 12:15:00,trend,1.0299999999997453,9.999999999997453,short
2026-03-23 12:21:00,2026-03-23 12:22:00,range,2.0399999999999636,20.099999999999635,short
2026-03-23 12:27:00,2026-03-23 12:36:00,range,-7.079999999999927,-71.09999999999927,short
2026-03-23 12:39:00,2026-03-23 12:50:00,trend,-5.5600000000004,-55.900000000004,long
2026-03-23 12:54:00,2026-03-23 13:09:00,trend,-11.13000000000011,-111.60000000000109,long
2026-03-23 13:09:00,2026-03-23 13:18:00,trend,-16.199999999999818,-162.2999999999982,short
2026-03-23 13:18:00,2026-03-23 13:37:00,trend,-6.069999999999709,-60.99999999999709,long
2026-03-23 13:37:00,2026-03-23 13:43:00,trend,-1.0,-10.3,short
2026-03-23 13:49:00,2026-03-23 13:52:00,range,-1.0,-10.3,long
2026-03-23 13:54:00,2026-03-23 13:56:00,range,0.010000000000218279,-0.19999999999781726,long
2026-03-23 14:08:00,2026-03-23 14:09:00,range,0.010000000000218279,-0.19999999999781726,long
2026-03-23 14:34:00,2026-03-23 14:37:00,range,-5.559999999999491,-55.899999999994904,long
2026-03-23 14:39:00,2026-03-23 14:51:00,trend,-3.0200000000004366,-30.500000000004366,short
2026-03-23 14:51:00,2026-03-23 14:57:00,trend,-4.039999999999964,-40.69999999999963,long
2026-03-23 14:57:00,2026-03-23 15:05:00,trend,-5.059999999999491,-50.899999999994904,short
2026-03-23 15:23:00,2026-03-23 15:27:00,trend,-3.5299999999997453,-35.59999999999745,long
2026-03-23 15:27:00,2026-03-23 15:28:00,transition,-3.0299999999997453,-30.599999999997454,short
2026-03-23 15:34:00,2026-03-23 15:35:00,transition,-1.0,-10.3,long
2026-03-23 15:39:00,2026-03-23 15:40:00,transition,-4.039999999999964,-40.69999999999963,short
2026-03-23 16:02:00,2026-03-23 16:03:00,range,-3.030000000000655,-30.60000000000655,short
2026-03-23 16:04:00,2026-03-23 16:11:00,range,-1.5,-15.3,short
2026-03-23 16:55:00,2026-03-23 17:14:00,trend,-4.550000000000182,-45.800000000001816,long
2026-03-23 17:14:00,2026-03-23 17:26:00,trend,-2.5200000000004366,-25.500000000004366,short
2026-03-24 09:21:00,2026-03-24 09:28:00,trend,-12.650000000000546,-126.80000000000545,long
2026-03-24 09:28:00,2026-03-24 09:38:00,trend,-21.26000000000022,-212.9000000000022,short
2026-03-24 09:38:00,2026-03-24 09:52:00,trend,-15.180000000000291,-152.10000000000292,long
2026-03-24 09:52:00,2026-03-24 10:01:00,trend,1.0299999999997453,9.999999999997453,short
2026-03-24 10:04:00,2026-03-24 10:09:00,trend,-12.140000000000327,-121.70000000000327,short
2026-03-24 10:19:00,2026-03-24 10:22:00,range,-1.5100000000002183,-15.400000000002183,short
2026-03-24 10:25:00,2026-03-24 10:26:00,range,-8.590000000000146,-86.20000000000145,short
2026-03-24 10:27:00,2026-03-24 10:32:00,range,7.110000000000582,70.80000000000582,short
2026-03-24 10:39:00,2026-03-24 10:40:00,range,0.010000000000218279,-0.19999999999781726,long
2026-03-24 10:54:00,2026-03-24 10:55:00,range,-4.039999999999964,-40.69999999999963,long
2026-03-24 10:56:00,2026-03-24 11:00:00,range,-7.579999999999927,-76.09999999999927,long
2026-03-24 11:02:00,2026-03-24 11:21:00,trend,4.069999999999709,40.39999999999709,short
2026-03-24 11:21:00,2026-03-24 11:28:00,trend,-3.0200000000004366,-30.500000000004366,long
2026-03-24 11:37:00,2026-03-24 11:40:00,range,3.550000000000182,35.20000000000182,short
2026-03-24 11:46:00,2026-03-24 11:55:00,trend,-5.559999999999491,-55.899999999994904,long
2026-03-24 12:04:00,2026-03-24 12:05:00,range,-1.5,-15.3,long
2026-03-24 12:15:00,2026-03-24 12:24:00,range,-5.050000000000182,-50.800000000001816,long
2026-03-24 12:33:00,2026-03-24 12:34:00,range,0.010000000000218279,-0.19999999999781726,short
2026-03-24 12:56:00,2026-03-24 12:59:00,range,-4.039999999999964,-40.69999999999963,short
2026-03-24 13:01:00,2026-03-24 13:11:00,trend,-5.559999999999491,-55.899999999994904,long
2026-03-24 13:17:00,2026-03-24 13:20:00,range,-5.050000000000182,-50.800000000001816,long
2026-03-24 13:41:00,2026-03-24 13:42:00,range,0.5199999999995271,4.899999999995271,short
2026-03-24 14:04:00,2026-03-24 14:05:00,transition,-4.539999999999964,-45.69999999999963,short
2026-03-24 14:08:00,2026-03-24 14:28:00,trend,2.0399999999999636,20.099999999999635,long
2026-03-24 14:28:00,2026-03-24 14:34:00,trend,-5.559999999999491,-55.899999999994904,short
2026-03-24 14:34:00,2026-03-24 14:41:00,trend,-7.079999999999927,-71.09999999999927,long
2026-03-24 15:01:00,2026-03-24 15:16:00,trend,-0.4899999999997817,-5.199999999997817,short
2026-03-24 15:30:00,2026-03-24 15:37:00,trend,-2.0100000000002183,-20.400000000002183,short
2026-03-24 15:40:00,2026-03-24 15:44:00,trend,-7.580000000000837,-76.10000000000836,short
2026-03-24 15:49:00,2026-03-24 15:50:00,range,-0.4899999999997817,-5.199999999997817,short
2026-03-24 16:01:00,2026-03-24 16:02:00,range,-1.0,-10.3,long
2026-03-24 16:04:00,2026-03-24 16:06:00,range,-2.0200000000004366,-20.500000000004366,long
2026-03-24 16:11:00,2026-03-24 16:32:00,trend,-2.0100000000002183,-20.400000000002183,short
2026-03-24 16:32:00,2026-03-24 16:33:00,transition,-1.5,-15.3,long
2026-03-24 16:38:00,2026-03-24 16:45:00,trend,-1.5099999999993088,-15.399999999993089,long
2026-03-24 17:02:00,2026-03-24 17:03:00,transition,-1.5100000000002183,-15.400000000002183,long
